,user_id,review,score
94,혜원(dwhw****),"다른건 다좋았는데 좀 별로라고 생각했던게근데 자스민 공주가 돈도 없으면서 빵 그냥  준건  좀 어이없었음 ㅋㅋ물론 그 장면이 있어야했지만 너무 뻔뻔함 ㅋㅋ앞뒷말도 안맞고.. 그 상인들은 백성이 아닝가 ,,? ㅎ",8
95,poro****,"다 아는 내용인데도, 다 아는 노래인데도, a whole new world  전율이 쫙~  이런게 상업영화의 재능! 극장에선 이런걸봐야지!",10
96,ㅎㅎㅎ(gunb****),"관람객


														
															
															
																나올 때 돈 안 아까운 영화쟈스민 너무 이쁘고 노래도 잘하고OST 도 너무 좋았어요",9
97,인간(macc****),"알라딘 춤실력 킹왕짱이였음, 힙합, 비보이댄스나올줄이야ㅋㅋ전체적으로 너무신났고 어꺠 들썩거리면서 봤음, 물론 감동은 기본임...ㅠ흑",10
98,최연기(zzan****),"관람객


														
															
															
																재밌어요 ㅎㅎ 노래가 너무 좋습니다",9
99,김현정(rksk****),"눈호강에 배우들 연기도 너무 좋아요ㅠㅠ 자스민 공주 너무 이쁘고 음악은 말할것도 없어요!!! 알라딘이 점점 잘생겨보이는 마법,,,,윌스미스 지니랑 찰떡...!",10
100,seve(stkj****),예고편이 잘못했다! 정말 재밋습니다. 특히 윌스미스 좋아하시는 분들 당장가서 보세요,9
101,simd****,나오미스콧 speechless 들어보고 얘기합시다a whole new world 자체도 감동인데막판에 고음으로 한방 끝장나네요노래 진짜 잘함,10
102,배찌(onmj****),진짜 이 영화는 음질 좋은데서 보세요ㅠㅠ제발ㅜㅠㅜ최고에요...,10
103,밍큐(augu****),"실사화 했을 때 '지니'가 어색하지 않을까 걱정했는데, 윌 스미스가 천재적인 능청스러움으로 완벽하게 살려냈다. 주체적인 인물로 자스민을 그려낸 것도 훌륭하다. 써라운드 상영관에서 듣는 OST는 말할것도...",8
104,Reboot(car3****),백마탄 왕자 기다리는 옛날 스타일 여자가 아니라 스스로 쟁취하는 여성의 스토리라 참 좋음. 요즘 여성상 속에서 자라나는 여자아이들은 괜찮을듯.,10
105,연금술사(ioli****),윌스미스 연기 최고고 정말 뽠타스틱했어요,10
106,나이스바디(sei2****),윌스미스 ㅋㅋㅋ 아진짜 재밌었음!!,10
107,아주매니(jsk1****),이건뭐 지리는영화... 최근본 영화중에 제일 고퀄,10
108,이유현(iyuh****),알라딘이랑 지니 역분이 너무 매력적이여서 영화보는데 정신이 다 갔어 ㅠ그리고 음악도 너무 좋았고요 3~4번 더 볼 정도로 지루하지 않고너무 좋았어요 그리고 눈호강도 했고요 암튼너무 재밌었고 어른들이 봐도 지루하지 않...,10
109,Purple(yjdl****),디즈니 영화를 좋아하는데 진짜 배우들도 잘어울리고 ost나올때는 소름끼치도록 좋았고 한번더 보려고 예매했어요!! 너무너무 재밌게 봐서 시간가는줄 몰랐어요!!,10
110,혜디니(yhj5****),애니 잘 살려냈다 화면보면서 감탄함,10
111,akck****,명불허전 윌 스미스.. 능청맞은 연기가 지니랑 찰떡이었슴...,10
112,제레미쿠(jere****),"아 정말 최고다. 애니메이션의 감동을 그대로 유지한 채 현대의 감성도 적절히 녹였다. 배우, 연기, 음악, 볼거리 모두가 좋았다. 개인적으로 미녀와 야수보다 좋았음. 7월 라이온킹이 너무 기대",10
113,얍스(naye****),"관람객


														
															
															
																진짜 솔직히 말하면 a whole new world 나오는 순간부터 소름 쫙돋음 ㅠㅠ 윌스미스 지니 역에 찰떡아니냐ㅋㅋㅋ 걱정할 필요가없었다! 너무재밌었음",10
114,otjs****,기대를 크게 안하다가 너무 재밌게봤다,10
115,tsutomu(cja9****),"관람객


														
															
															
																2시간동안 꿈꾼것같음",10
116,고로고로(rkdm****),아부가 빨간 보석 집었을때 앞에 있던 아이의 탄식...ㅋㅋㅋ 잊을 수 없다,10
117,블루컬러레드컬러(appl****),최고입니다 두 번 보려구요,10
118,호빵(cozy****),"다른 영화 다 제치고 인생영화로 등극했어요,, 정말 영화 시작할때부터 끝까지 흠잡을것 하나 없이 완벽했고 취향200% 저격인 영화에요. 영화 끝나자마자 또 보고 싶단 생각이 들어서 다음주에 또 볼거에요!!",10
119,외계인(nul1****),Speechless,10
120,YUNS(yoon****),노래들도 정말 다 좋고 진짜 인생영화...특히 a whole new world 나올 때는 소름이 쫙 끼쳤다..,10
121,히오(cys1****),나 진짜 마블 진성 덕후인데 어벤져스보다 재밌었다;; 둘이 양탄자 타고 날 때는 감동의 눈물도 좀 나왔음ㅋㅋ,10
122,박혜원(take****),제목만 알라딘이였을뿐..결국 주인공은 자스민임 ㅋㅋ알라딘이 왕자되서 궁전찾아갔을때 그때 진짜 와 스케일 미쳤다 생각들었다 그 장면 말곤 크게 생각나는건 없음,8
123,요츠바랑(yots****),방금 저녁타임 보고 나왔어요~뒤에서 짭짭 거리던 소리도 잊을 만큼 시간 금방 갑니다~정말 최고였어요~♡,10
124,그루트(ghch****),그냥 전반적으로 좋았네요.영화가 아닌 공연을 본 듯한?한국 영화도 이런류의 작품 좀 만들었으면..맨날 경찰  검사 느와르 조폭..,10
125,종이여자(ryeo****),윌스미스가 지니라고? 의아했는데 다른분들 말대로 정말 원작 씹어먹음.. 그냥 반해버림.. 보고나왔는데 행복감 가득해지는 영화 ..,10
126,Dearest(ninj****),디즈니 만화동산을 오매불망 기다리던 꼬마가 서른셋이 되어 알라딘 실화영화를 볼 때의 감동을 고맙게도 디즈니는 지켜주었다.,10
127,찐만(siku****),기생충보다훨씬꿀잼입니다,10
128,gsw(gswi****),"혹평이고.... 호러같이 자극적인거만 좋아하는 저인데, 영화가 너무 아름다워서 후반엔 눈물이 흐르더라구요. 저도 늙었나봅니다 근래에 본 모든 영화중에 제 가슴을 가장 적셨어요",10
129,dydd****,동심 찾기 영화 너무좋다,10
130,프로예성인중러(02kk****),A whole new world 나올 때 진심 숨 참고 봤음ㅠㅠ,10
131,안습녀(jami****),진짜 미친거같은 영화. 디즈니 실사중 유일하게 오리지널을 뛰어넘움,10
132,pian****,하루종일 노래가 머리에 맴도네요실사로보니 더 멋지고 아름다운 영화였어요,10
133,이서진(dust****),힘든 고3 생활에서 만난 한줄기 빛과 같은 영화 ..일상에서 벗어나 아무 걱정없이 순간을 즐길 수 있어서 행복했습니다. 멋진 영화 감사합니다,10
134,gkxm****,너무감동있게봤어요♡잊지못할ost,10
135,탱(abcd****),완벽한 실사판이 이거구나 느꼈다,10
136,반가워요(th23****),자스민 진짜 최고 멋지다...,10
137,괴한(sshi****),보는내내 눈과 귀가 즐거움,10
138,영(ppan****),기대 안했는데 너무 재밌어요 ㅋㅋ 진짜 윌스미스가 하드캐리한 영화임.... 그리고 원숭이랑..,10
139,점순(wjst****),이 동심을 모르는 세대가 안타깝다 ㅠ,10
140,셰헤라자드(bibb****),생각보다 너무 좋았다 여주 노래 부를때 소름돋음 ㅠㅠ 카펫타고 나를때 둘이 부르는 노래가 흘러나올때 눈물찔끔남 ㅠㅠ 추억의 영화을 이렇게 멋지게 만들어내다니 생각보다 잘만들었다 재밌고 또 본다면 4dx로 보고픔^^,10
141,백호(chei****),스미스 하드캐리 인정ㅋㅋ터졌다,9
