movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companys
20174187,120 BPM,120 Beats Per Minute,2017,20180315,장편,개봉,프랑스,드라마,프랑스,드라마,"('로빈 캄필로', ' ', ' ', ' ')",[]
20189382,지구: 놀라운 하루,Earth – One Amazing Day ,2017,20180222,장편,개봉,영국,"다큐멘터리,가족",영국,다큐멘터리,"('범립흔', '피터 웨버', ' ', ' ')",[]
20177750,레더페이스,LEATHERFACE,2016,20180125,장편,개봉,캐나다,"공포(호러),스릴러",캐나다,공포(호러),"('알렉상드르 뷔스티요', '줄리엔 모리', ' ', ' ')",[]
20180622,악셀,Axel 2: Adventures of the Spacekids,2017,20180308,장편,개봉,중국,"판타지,애니메이션",중국,판타지,"('레오 리', ' ', ' ', ' ')",[]
20170794,장고 인 멜로디,Django,2017,20180301,장편,개봉,프랑스,드라마,프랑스,드라마,"('에티엔느 코마', ' ', ' ', ' ')",[]
20179228,마야2,Maya the Bee: The Honey Games,2017,20180201,장편,개봉,독일,애니메이션,독일,애니메이션,"('노엘 클리어리', '세르지오 델피노', ' ', ' ')",[]
20180082,로건 럭키,Logan Lucky,2017,20180314,장편,개봉,미국,"코미디,범죄,드라마,액션",미국,코미디,"('스티븐 소더버그', ' ', ' ', ' ')",[]
20178469,올 더 머니,All the Money in the World,2017,20180201,장편,개봉,미국,"범죄,드라마,미스터리,스릴러",미국,범죄,"('리들리 스콧', ' ', ' ', ' ')",[]
20189461,베러 와치 아웃,Better Watch Out,2016,20180208,장편,개봉,"호주,미국",공포(호러),호주,공포(호러),"('크리스 페코버', ' ', ' ', ' ')",[]
20179163,반도에 살어리랏다,I'll Just Live in Bando,2017,20180125,장편,개봉,한국,"애니메이션,코미디",한국,애니메이션,"('이용선', ' ', ' ', ' ')","[{'companyCd': '20186721', 'companyNm': '스튜디오 수집'}]"
20179936,풍뎅이뎅이,The Beetles,2017,20180208,옴니버스,개봉,한국,애니메이션,한국,애니메이션,"('이재한', ' ', ' ', ' ')","[{'companyCd': '20100807', 'companyNm': '(주)디씨지플러스'}, {'companyCd': '20156292', 'companyNm': '(주)엔에이치씨미디어'}]"
20180302,허리케인 하이스트,The Hurricane Heist,2017,20180314,장편,개봉,미국,"액션,범죄",미국,액션,"('롭 코헨', ' ', ' ', ' ')",[]
20182054,연변 아가씨의 맛섹사-무삭제판,,2017,20180314,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('이민', ' ', ' ', ' ')","[{'companyCd': '20063099', 'companyNm': '(주)케이알씨지'}]"
20173550,착한 처형 : 아내를 대신하다 무삭제판,,2017,20180307,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('최강호', ' ', ' ', ' ')","[{'companyCd': '20161021', 'companyNm': '(주)영화사가을'}]"
20182342,회사에 손해를 끼친 여직원,The price of mistakes,2017,20180309,장편,개봉,일본,드라마,일본,드라마,"('긴다이치 코고로', ' ', ' ', ' ')",[]
20182050,젊은장모-무삭제,,2017,20180309,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('김경훈', ' ', ' ', ' ')","[{'companyCd': '20130184', 'companyNm': '스마일컨텐츠'}]"
20175788,흑마술사,Interchange,2016,20180308,장편,개봉,말레이시아,"판타지,SF,스릴러",말레이시아,판타지,"('다인 사이드', ' ', ' ', ' ')",[]
20180564,툼레이더,TOMB RAIDER,2018,20180308,장편,개봉,미국,"액션,어드벤처",미국,액션,"('로아 우타우', ' ', ' ', ' ')",[]
20189949,조교받는 신입 여직원,Chokyo Office,2016,20180308,장편,개봉,일본,성인물(에로),일본,성인물(에로),"('우스바시 스이', ' ', ' ', ' ')",[]
20181741,예스 평창!,Yes PyeongChang,2018,20180308,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,"('백철기', ' ', ' ', ' ')","[{'companyCd': '20186604', 'companyNm': '명작엔터테인먼트(주)'}]"
20176083,"아이, 토냐","I, Tonya ",2017,20180308,장편,개봉,미국,드라마,미국,드라마,"('크레이그 질레스피', ' ', ' ', ' ')",[]
20189950,아내의 하반신 - 가죽소파,Misojiduma no Kahanshin,2016,20180308,장편,개봉,일본,성인물(에로),일본,성인물(에로),"('아카바네 류지', ' ', ' ', ' ')",[]
20189948,산부인과 남자의사,Dirty Obstetrician & Gynecologist,2017,20180308,장편,개봉,일본,성인물(에로),일본,성인물(에로),"('오우치 아이리', ' ', ' ', ' ')",[]
20189742,사촌 누나,,2017,20180308,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('조태호', ' ', ' ', ' ')","[{'companyCd': '20161021', 'companyNm': '(주)영화사가을'}]"
20180127,나라타주,Narratage,2017,20180308,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,"('유키사다 이사오', ' ', ' ', ' ')",[]
20189963,결혼 상담사가 맘에 들어,Charming Consultants of Marriage Agency,2017,20180308,장편,개봉,일본,성인물(에로),일본,성인물(에로),"('후지타 카오루', ' ', ' ', ' ')",[]
20176070,플로리다 프로젝트,The Florida Project,2017,20180307,장편,개봉,미국,드라마,미국,드라마,"('션 베이커', ' ', ' ', ' ')",[]
20178490,온리 더 브레이브,Only the Brave,2017,20180307,장편,개봉,미국,드라마,미국,드라마,"('조셉 코신스키', ' ', ' ', ' ')",[]
20189761,터닝메카드W: 반다인의 비밀 특별판,Turning Mecards W: Secret of Bandain,2018,20180208,장편,개봉,한국,애니메이션,한국,애니메이션,"('홍헌표', ' ', ' ', ' ')","[{'companyCd': '20172761', 'companyNm': '㈜희원엔터테인먼트'}]"
20180784,마술피리 ,THE MAGIC FLUTE,2017,20180304,장편,개봉,영국,공연,영국,공연,"('데이비드 맥비커', ' ', ' ', ' ')",[]
20182161,정사:그녀의 마지막 섹스,Enmitsu ninjya mimerareta onnashinobi,2015,20180305,장편,개봉,일본,"멜로/로맨스,드라마,액션",일본,멜로/로맨스,"('이시카와 지로', ' ', ' ', ' ')",[]
20182163,성인식:남자로 만들어줄게,Showa Sanson Yobaimura,2016,20180305,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,"('아마엔보 쇼군', ' ', ' ', ' ')",[]
20182164,남편몰래이웃남자와,Donarinohitoni tasukerareta watasi,2016,20180305,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,"('츠키카게 쿠로우', ' ', ' ', ' ')",[]
20182162,금지된 장난: 시아주버니,Itoko no Onisan tono Furin,2016,20180305,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,"('키탄', ' ', ' ', ' ')",[]
20182052,거근이 좋아,Ikaretatuma,2015,20180305,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,"('나가에 타카미', ' ', ' ', ' ')",[]
20179344,불륜 동창회,,2017,20180302,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('조태호', ' ', ' ', ' ')","[{'companyCd': '20161021', 'companyNm': '(주)영화사가을'}]"
20181365,펭귄-위대한 모험 2,L'empereur,2016,20180301,장편,개봉,프랑스,다큐멘터리,프랑스,다큐멘터리,"('뤽 자케', ' ', ' ', ' ')",[]
