movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companys
20184086,착한 친구엄마 (무삭제),,2017.0,20181120,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이진명'}],"[{'companyCd': '20112175', 'companyNm': '(주)소나무픽쳐스'}]"
20183706,어린 장모들,,2018.0,20181120,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '강정훈'}],"[{'companyCd': '20112175', 'companyNm': '(주)소나무픽쳐스'}]"
20183903,애욕의 잔다라 후예들,Trauma,2016.0,20181118,장편,개봉,태국,멜로/로맨스,태국,멜로/로맨스,[{'peopleNm': '마우스 수와나'}],[]
20185948,도묘필기3: 제국의 부활,THE LOST TOMB 3,2018.0,20181115,장편,개봉,중국,기타,중국,기타,[{'peopleNm': '나영창'}],[]
20187343,홍콩 마스터 어벤져,HONGKONG MASTER,2017.0,20181115,장편,개봉,중국,"액션,SF",중국,액션,[{'peopleNm': '양중문'}],[]
20183220,김본좌의 야동남녀- 무삭제판,,2018.0,20181114,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '박은수'}],"[{'companyCd': '20063099', 'companyNm': '(주)케이알씨지'}]"
20183703,노리개가 된 유부녀 ,Don't Drive Me Crazy,2018.0,20181109,장편,개봉,일본,드라마,일본,드라마,[{'peopleNm': '우스바시 스이'}],[]
20183708,친구 엄마들의 맛 (감독판),,2018.0,20181109,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '강정훈'}],"[{'companyCd': '20112175', 'companyNm': '(주)소나무픽쳐스'}]"
20183709,친구 엄마들 2018 (감독판),,2018.0,20181109,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이진'}],"[{'companyCd': '20112175', 'companyNm': '(주)소나무픽쳐스'}]"
20183751,착한 처제들 2018 (감독판),,2018.0,20181109,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '강정훈'}],"[{'companyCd': '20112175', 'companyNm': '(주)소나무픽쳐스'}]"
